1980 1 1
24.249,11.951
21.89,11.822
13.84,6.18
11.599,4.479
9.329,-2.74
10.209,0.369
19.321,7.821
15.421,5.711
11.37,2.841
15.75,5.152
20.5,7.609
25.52,11.871
22.499,12.711
15.219,6.05
14.34,8.649
12.699,5.43
19.249,3.721
24.16,7.742
20.8,14.451
18.589,7.131
13.909,-1.08
19.39,2.65
17.529,7.946
17.839,12.859
14.849,9.071
15.41,4.793
16.84,5.96
15.58,7.359
12.529,8.37
19.87,7.301
18.91,8.061
15.78,5.222
16.829,2.843
20.529,6.12
24.199,8.07
24.45,10.68
22.92,15.061
28.131,16.561
25.62,17.91
24.14,15.619
24.06,17.45
21.526,14.362
23.98,16.489
25.349,19.379
23.52,10.192
20.51,8.88
25.64,12.592
26.86,19.99
25.92,19.39
28,17.099
28.151,20.71
26.05,12.09
29.81,11.099
27.02,17.42
23.84,14.67
25.72,13.7
23.82,14.9
26.69,17.458
30.39,22.65
30.871,24.92
29.6,22.351
22.02,14.681
25.409,13.562
26.28,14.84
25.8,17.881
26.58,18.941
25.56,20.701
23.13,16.06
26.07,17.518
26.8,22.48
22.181,11.671
22.14,13.001
25.86,12.443
30.209,17.703
28.64,22.371
27.589,19.201
26.099,18.069
25.9,18.561
26.26,19.05
27.3,21.29
30.329,22.25
32.11,22.861
30.099,21.76
30.189,23.79
28.729,19.561
29.04,16.808
28.96,18.169
32.2,21.65
30.19,19.751
23.66,15.661
24.499,18.63
28.14,17.001
29.61,20.2
27.59,20.74
25.84,20.22
25.569,19.351
23.67,14.872
23.07,14.349
25.409,14.552
29.19,16.991
27.38,22.32
25.441,15.193
25.063,15.202
21.509,12.88
25.039,14.569
26.28,16.121
28.979,15.971
29.5,19.86
27.37,21.899
30.53,21.081
28.009,20
27.189,19.481
27.97,20.25
25.7,19.84
25.27,17.75
25.8,19.84
24.59,19.93
27.109,13.96
29.009,18.572
26.581,19.091
25.41,19.46
24.029,19.191
21.499,7.682
23.229,10.442
24.229,10.462
25.939,11.342
25.729,14.771
25.969,13.901
26.679,15.15
28.609,16.781
25.919,14.252
25.459,14.462
27.22,17.511
27.11,20.941
25.86,21.07
25.729,19.78
28.469,21.37
27.19,21.97
26.36,21.64
24.2,18.971
22.788,15.549
23.349,16.5
25.329,16.349
25.189,15.05
21.98,15.63
20.329,8.96
26.339,11.03
28.999,15.35
27.739,16.36
29.109,17.14
27.849,21.33
24.24,13.032
17.6,10.86
13.97,10.179
15.729,9.188
22.169,7.1
18.38,11.808
17.754,9.282
16.091,10.521
14.86,1.971
19.299,5.001
19.321,13.46
26.839,15.53
23.39,17.14
15.78,7.51
11.48,6.461
17.111,7.087
19.702,13.171
13.041,4.61
13.03,3.362
13.82,5.21
22.2,11.821
20.161,13.81
13.189,6.68
12.67,4.144
14.21,6.432
14.39,7.6
15.64,5.772
16.25,5.11
19.06,4.453
18.382,4.792
16.7,11.92
15.17,8.133
16.91,3.9
13.011,8.51
7.459,3.08
17.96,1.171
12.889,7.32
9.61,4.672
8.161,1.563
4.67,-2.139
12.581,-1.529
10.242,6.641
11.27,9.761
13.669,2.61
14.78,3.002
18.5,4.191
19.49,6.611
20.479,10.451
18.868,14.391
16.749,5.571
18.88,8
19.37,12.141
15.26,5.45
8.639,0.022
15.44,-0.08
12.25,3.111
6.67,-2.1
7.22,-1.66
6.529,-1.379
9.209,-1.029
11.109,-0.549
12.079,1.26
12.159,2.16
12.869,0.939
9.25,0.22
10.322,4.65
7.132,4.22
3.62,0.07
1.34,-1.681
0.72,-7.343
2.78,-0.709
3.419,-3.119
7.725,-1.728
9.862,2.901
3.55,-1.691
1.97,-3.07
2.97,-3.079
6.231,-1.108
5.091,2.98
6.41,0.161
3.64,2.181
2.72,0.39
4.21,-1.349
6.42,-0.84
5.59,0.29
-0.11,-3.2
-2.47,-4.581
-1.061,-7.882
1.889,-2.071
1.579,-1.981
1.029,-2.29
0.29,-1.571
-1.79,-3.111
-1.69,-4.151
-2.331,-4.942
-4.911,-7.502
-6.091,-10.631
-2.881,-12.023
0.36,-3.379
0.6,-3.289
-2.66,-9.539
-2.3,-10.238
-0.67,-5.698
0.5,-2.24
-1.14,-5.668
-1.67,-9.638
-4.679,-14.048
0.811,-6.399
0.77,-6.278
-1.47,-8.637
1.031,-1.789
3.333,-3.299
-1.458,-7.73
0.581,-4.477
-0.729,-9.51
-6.709,-16.492
-7.51,-14.71
-15.54,-23.41
-14.731,-23.901
-8.17,-15.321
-6.55,-9.991
-6.29,-11.101
-7.931,-15.851
-6.789,-22.931
-19.571,-27.641
-8.6,-20.511
-3.29,-10.291
-4.271,-13.792
-5.93,-8.69
-7.099,-16.754
1.26,-9.538
-10.369,-14.22
-10.381,-19.082
-9.381,-19.322
-4.17,-18.012
0.36,-6.537
-1.719,-12.009
1,-3.34
0.74,-5.879
-5.539,-12.338
-2.65,-15.837
-2.55,-6.177
-3.64,-13.548
-6.989,-18.73
-7.059,-17.95
-7.11,-27.287
-5.38,-20.359
-6.549,-9.7
-11.02,-29.02
-7.04,-21.04
-5,-20.79
-3.741,-10.199
-0.42,-7.93
0.86,-4.389
0.91,0.25
0.34,-3.43
0.01,-2.4
0.31,-0.698
1.643,-5.838
0.62,-6.409
2.691,-1.699
3.001,-2.798
0.74,-5.471
-5.089,-13.548
-2.87,-15.438
-0.91,-12.389
-0.539,-11.538
2.582,-5.768
0.012,-3.358
-2,-11.877
0.061,-14.038
0.331,-10.946
-1.91,-12.328
-2.83,-12.124
-4.288,-10.996
-2.588,-6.579
0.761,-6.998
4.677,-0.737
8.454,-2.997
8.362,4.895
8.29,-2.05
4.56,-0.58
11.402,-1.03
10.771,0.001
12.511,-0.27
8.161,0.469
9.131,0.659
6.782,-0.06
5.841,0.3
8.329,-0.15
10.7,1.04
7.28,1.18
3.8,-2.689
-1.61,-7.779
1.961,-8.248
10.2,-4.809
6.942,-1.207
12.912,5.552
10.662,0.34
