,Portage River
135,0.0
136,4.630000114440918
137,22.979999542236328
138,7.25
139,0.0
140,0.0
141,0.0
142,0.0
143,1.6299999952316284
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,8.819999694824219
151,0.0
152,15.149999618530273
153,6.03000020980835
154,0.0
155,0.0
156,4.260000228881836
157,0.0
158,19.56999969482422
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,29.850000381469727
167,0.0
168,0.0
169,0.0
170,9.15999984741211
171,0.0
172,0.0
173,0.0
174,0.0
175,8.239999771118164
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,13.069999694824219
186,13.640000343322754
187,0.0
188,0.0
189,0.0
190,13.5600004196167
191,0.0
192,0.0
193,3.9000000953674316
194,0.0
195,0.0
196,0.0
197,2.5399999618530273
198,0.0
199,0.0
200,0.0
201,0.0
202,10.020000457763672
203,29.329999923706055
204,0.0
205,0.0
206,0.0
207,0.0
208,5.710000038146973
209,9.699999809265137
210,4.639999866485596
211,0.0
212,0.0
213,0.0
214,19.969999313354492
215,2.859999895095825
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,14.6899995803833
223,13.020000457763672
224,0.0
225,6.230000019073486
226,2.549999952316284
227,0.0
228,0.0
229,19.8799991607666
230,0.0
231,19.3700008392334
232,7.909999847412109
233,18.3700008392334
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,7.369999885559082
243,16.559999465942383
244,3.5999999046325684
245,4.019999980926514
246,0.0
247,6.059999942779541
248,0.0
249,0.0
250,0.0
251,0.0
252,5.489999771118164
253,0.0
254,0.0
255,0.0
256,9.829999923706055
257,3.2799999713897705
258,0.0
259,6.260000228881836
260,7.409999847412109
261,0.0
262,0.0
263,0.0
264,0.0
265,9.40999984741211
266,0.0
267,0.0
268,2.559999942779541
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,7.289999961853027
275,0.0
276,2.109999895095825
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.38999998569488525
285,0.0
286,0.0
287,0.9800000190734863
288,0.0
289,0.0
290,7.5
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
